# DocKG Multipass Analysis Pipeline - Run Parameters
# Run ID: d3f9cf29775d
# Generated: 2026-04-06T13:09:31.284872+00:00
# Corpus root: .
# Chunk strategy: sentence_group
# Sentences per chunk: 4
# Batch size: 20
# Sampling strategy: diversity
# Diversity clusters: 8
# Topic clusters: 8
# Supervised threshold: 0.3
# Random seed: 42
# Total files: 8
# Sampled files: 8
# Total chunks: 69
#
# ======== ENTRIES ========


# === Source: CHANGELOG.md ===
# Section: Changelog
pchunk:CHANGELOG.md:ddc9a17b | cluster:cluster_7 | 0.58 | unsupervised | this,https,project,adheres | All notable changes to this project will be documented in this file. The format is based on [Keep a Changelog](https://keepachangelog.com/en/1.0.0/), and this project adheres to [Semantic Versioning](https://semver.org/spec/v2.0.0.html).
pchunk:CHANGELOG.md:2664febf | cluster:cluster_5 | 0.64 | unsupervised | in-project,pycodekg,added,alongside | - `poetry.toml` — in-project virtualenv configuration (`in-project = true`) - `.gitignore`: added `.pycodekg/` entry to exclude the pycodekg index from version control (alongside existing `.codekg/`, `.dockg/`, `.filetreekg/` entries)
pchunk:CHANGELOG.md:d5fd4d30 | cluster:cluster_1 | 0.68 | unsupervised | pyproject,repo,toml,tool | - Migrated `pyproject.toml` from `[tool.poetry]` to PEP 621 `[project]` table; `kg-snapshot` is now a required runtime dependency (git source) - `--db` and `--lancedb` CLI options now default to `None`; each command resolves the path relative to `--repo` at runtime, so `ftreekg build --repo /path/to/repo` no longer requires explicit db/lancedb flags - `pyproject.toml` formatting: aligned tool config tables, added section comments, reformatted multi-value lists for readability - `follow_untyped_imports = true` added to `[[tool.mypy.overrides]]` for `kg_snapshot.*` so mypy follows the imported types rather than silently treating them as `Any` - Version bumped to `0.4.1` in `pyproject.toml` and `src/ftree_kg/__init__.py`
pchunk:CHANGELOG.md:13c8ee0a | cluster:cluster_1 | 0.63 | unsupervised | py,snapshots,cast,class | - `adapter.py`: `FileTreeKGAdapter.stats()` was accessing `.node_count` / `.edge_count` as attributes on the `dict` returned by `kg.stats()` — now uses `s.get("total_nodes", 0)` / `s.get("total_edges", 0)` (runtime `AttributeError` at every stats call) - `snapshots.py`: `FtreeSnapshotManager.save_snapshot()` was missing the `force` keyword argument present in the base class — callers passing `force=True` would get a `TypeError`; return type corrected to `Path | None` - `snapshots.py`: `FtreeSnapshotManager.capture()` parameter order corrected to match base class (`graph_stats_dict` positional, `stats_dict` keyword-only); `hotspots` and `issues` params added and forwarded to `super()` - `snapshots.py`: `diff_snapshots()` now uses `cast(SnapshotMetrics, snap.metrics)` before passing to `metrics_to_dict()` to satisfy mypy after `follow_untyped_imports` was enabled - `extractor.py`, `module.py`, `snapshots.py`: removed stale `# type: ignore[misc]` comments on class definitions — no longer needed now that pycode_kg/kg_snapshot types are fully resolved - `module.py`: `FileTreeKG.pack()` override annotated with `# type: ignore[override]` — intentionally uses a different (filesystem-appropriate) interface - `cmd_snapshot.py`, `test_query.py`: added `cast(SnapshotMetrics, ...)` / `cast(SnapshotDelta, ...)` at attribute-access sites to satisfy mypy; `saved.exists()` guard updated to handle `Path | None`
pchunk:CHANGELOG.md:b54b0655 | cluster:cluster_1 | 0.70 | unsupervised | ftree_kg,src,analysis,py | - `src/ftree_kg/` — proper Python package namespace replacing the flat `src/` layout; Poetry now builds and installs the `ftree_kg` distribution correctly - `[[tool.mypy.overrides]]` for `ftree_kg.*` so mypy gracefully handles self-referential imports in isolated environments - `poetry.toml` — in-project virtualenv configuration (`in-project = true`) - Initial FileTreeKG scaffold with KGModule infrastructure - FileTreeKGExtractor for filesystem traversal - FileTreeKG module with build, query, pack, analyze operations - FileTreeKGAdapter for KGRAG federation (meta kind) - Comprehensive test suite for extractor and query operations - Full CLI (`ftreekg`) with `build`, `query`, `pack`, `analyze`, and `snapshot` subcommands - `src/ftree_kg/snapshots.py` — `SnapshotManager` with `capture`, `save_snapshot`, `load_snapshot` (including `"latest"` key), `list_snapshots`, and `diff_snapshots`; filesystem-specific metrics (`total_files`, `total_dirs`, `dir_node_counts` per top-level directory); delta tracking vs. previous and baseline snapshots; degenerate-snapshot guard; git tree hash / branch auto-detection - `src/ftree_kg/config.py` — reads `[tool.filetreekg]` from `pyproject.toml` for `include`/`exclude` dir lists; ships `DEFAULT_SKIP_DIRS` applied at every walk depth - `.claude/` tooling: agents, commands, plugins, and skills for Claude Code integration - `examples/query_examples.py` — runnable usage examples - `analysis/filetreekg_analysis.md` — architectural analysis report - `.pre-commit-config.yaml` and `.secrets.baseline` for pre-commit quality gates - `src/ftree_kg/cli/cmd_hooks.py` — `ftreekg hooks install` CLI command that writes a pre-commit hook into `.git/hooks/` - `FTreeKG.code-workspace` — VSCode workspace file for the project - `codekg_pyproject.toml` — reference pyproject.toml snippet showing CodeKG integration setup - `analysis/FTreeKG_analysis_20260321.md` — CodeKG architectural analysis report (2026-03-21, 936 nodes, grade D/55)
pchunk:CHANGELOG.md:8011f45b | cluster:cluster_1 | 0.73 | unsupervised | src,ftree_kg,cli,filetreekg | - Renamed package root from `src/` (flat, uninstallable) to `src/ftree_kg/` and updated `pyproject.toml` `packages` declaration to `{include = "ftree_kg", from = "src"}` - All internal imports rewritten from `src.*` → `ftree_kg.*` across every module, CLI command, and test file - CLI entry points updated from `src.cli.*` → `ftree_kg.cli.*` - Removed `kg-rag` as a required dependency; `code-kg` and `doc-kg` remain as direct git-sourced dependencies - Removed `[tool.poetry.extras]` stanza (extras replaced by direct dependencies) - `ftreekg snapshot` promoted from stub to a proper subcommand group (`save`, `list`, `show`, `diff`) backed by `SnapshotManager` - Restructured source tree: `filetreekg/` → `src/ftree_kg/` and renamed package from `filetreekg` to `ftree-kg` - Tests relocated from `filetreekg/tests/` to `src/tests/` - `src/ftree_kg/snapshots.py` refactored as a thin layer over `kg_rag.snapshots`; `FtreeSnapshotManager` subclass adds filesystem-specific `SnapshotMetrics`/`SnapshotDelta` hydration and `files_delta`/`dirs_delta` in deltas - `src/ftree_kg/cli/main.py` registers all subcommand modules via explicit imports so CLI entry points resolve correctly at install time - Updated `poetry.lock` to Poetry 2.3.2 format
pchunk:CHANGELOG.md:86340c09 | cluster:cluster_1 | 0.70 | unsupervised | py,kg_rag,all,cli | - Package was previously uninstallable via `pip install` / `poetry install` because `packages = [{include = "src"}]` included the entire `src/` directory rather than a named importable package - Removed stale `type: ignore` comments from `snapshots.py` made redundant by `[[tool.mypy.overrides]]` - Resolved cyclic import between `cli/main.py` and all `cmd_*.py` modules by extracting the Click group into `cli/group.py` - Guarded `from kg_rag.snapshots import ...` with `try/except ImportError` so the module loads cleanly when `kg_rag` is absent - CI type-check job now installs all extras so mypy can resolve `code_kg` and `kg_rag` imports

# === Source: README.md ===
pchunk:README.md:fc230df0 | cluster:cluster_3 | 0.61 | unsupervised | https,badge,img,io | [![Python](https://img.shields.io/badge/python-3.12%20%7C%203.13-blue.svg)](https://www.python.org/) [![License: Elastic-2.0](https://img.shields.io/badge/License-Elastic%202.0-blue.svg)](https://www.elastic.co/licensing/elastic-license) [![Version](https://img.shields.io/badge/version-0.4.0-blue.svg)](https://github.com/Flux-Frontiers/FTreeKG/releases) [![CI](https://github.com/Flux-Frontiers/FTreeKG/actions/workflows/ci.yml/badge.svg)](https://github.com/Flux-Frontiers/FTreeKG/actions/workflows/ci.yml) [![Poetry](https://img.shields.io/endpoint?url=https://python-poetry.org/badge/v0.json)](https://python-poetry.org/)
pchunk:README.md:5a03409b | cluster:cluster_7 | 0.63 | unsupervised | building,directories,file,files | A KGModule for building knowledge graphs of file tree structures. Indexes filesystem hierarchies with semantic search over files, directories, symlinks, and logical modules.
pchunk:README.md:a1076147 | cluster:cluster_7 | 0.65 | unsupervised | child_of,codekg,contains,description | - **Node kinds:** file, directory, symlink, module - **Edge relations:** CONTAINS, CHILD_OF, PARENT_OF - **KGKind:** meta - **Semantic indexing:** Query filesystem structures by description - **KGRAG integration:** Federate with CodeKG and DocKG
pchunk:README.md:5288851e | cluster:cluster_3 | 0.60 | unsupervised | ftreekg,git,cd,clone | git clone https://github.com/flux-frontiers/FTreeKG.git cd FTreeKG ./scripts/setup.sh
pchunk:README.md:1ecd0105 | cluster:cluster_6 | 0.67 | unsupervised | node,results,all,configuration | results = kg.query("find all configuration files", k=5) for node in results.nodes:     print(f"{node['name']}: {node['source_path']}")
pchunk:README.md:917bee9c | cluster:cluster_6 | 0.68 | unsupervised | snippet,snippets,content,directory | snippets = kg.pack("directory structure", k=3) for snippet in snippets.snippets:     print(f"{snippet.source_path}\n{snippet.content}") ```
